unifrac	A.0	A.1	A.11	A.12	A.14	A.13	A.8	A.9	A.3	A.4	A.6	A.7	A.5	A.15	A.16	A.2	A.17	A.20	A.21	G.1	G.3	G.4	LW.1	G.2	T.1	G.5	GR.01	A.23	A.24	A.25	A.26	A.28	A.27	A.29	A.32	A.30	A.34	BS.2	C3.2
A.0	0	0.350	0.449	0.474	0.472	0.494	0.517	0.504	0.372	0.419	0.416	0.468	0.435	0.460	0.497	0.448	0.484	0.532	0.509	0.450	0.444	0.474	0.445	0.491	0.537	0.561	0.564	0.596	0.553	0.547	0.564	0.568	0.581	0.587	0.549	0.569	0.534	0.502	0.511
A.1	0.350	0	0.197	0.232	0.222	0.253	0.289	0.273	0.140	0.184	0.179	0.212	0.224	0.255	0.277	0.227	0.289	0.331	0.367	0.400	0.347	0.367	0.482	0.477	0.426	0.537	0.457	0.535	0.504	0.506	0.528	0.535	0.563	0.565	0.537	0.551	0.498	0.479	0.525
A.11	0.449	0.197	0	0.0765	0.088	0.103	0.148	0.130	0.161	0.121	0.106	0.113	0.151	0.149	0.167	0.174	0.199	0.205	0.261	0.445	0.354	0.378	0.542	0.534	0.390	0.518	0.445	0.471	0.466	0.481	0.516	0.524	0.566	0.533	0.521	0.548	0.463	0.495	0.556
A.12	0.474	0.232	0.0765	0	0.0564	0.0645	0.133	0.115	0.194	0.139	0.118	0.124	0.152	0.125	0.139	0.206	0.166	0.177	0.238	0.470	0.386	0.404	0.565	0.559	0.371	0.548	0.459	0.441	0.470	0.479	0.512	0.526	0.560	0.531	0.517	0.547	0.470	0.491	0.551
A.14	0.472	0.222	0.088	0.0564	0	0.0658	0.144	0.130	0.191	0.152	0.126	0.132	0.162	0.114	0.134	0.207	0.158	0.181	0.243	0.477	0.394	0.412	0.561	0.559	0.389	0.551	0.466	0.431	0.469	0.475	0.506	0.523	0.553	0.532	0.515	0.543	0.470	0.484	0.544
A.13	0.494	0.253	0.103	0.0645	0.0658	0	0.114	0.0995	0.192	0.131	0.133	0.126	0.145	0.112	0.110	0.190	0.164	0.159	0.224	0.493	0.412	0.429	0.576	0.574	0.392	0.531	0.482	0.436	0.470	0.483	0.519	0.534	0.567	0.532	0.529	0.554	0.454	0.499	0.558
A.8	0.517	0.289	0.148	0.133	0.144	0.114	0	0.0544	0.218	0.156	0.152	0.117	0.129	0.187	0.153	0.175	0.238	0.191	0.231	0.501	0.426	0.441	0.572	0.576	0.345	0.504	0.488	0.482	0.486	0.504	0.539	0.546	0.581	0.547	0.542	0.562	0.461	0.514	0.570
A.9	0.504	0.273	0.130	0.115	0.130	0.0995	0.0544	0	0.206	0.141	0.139	0.107	0.116	0.172	0.147	0.170	0.232	0.186	0.229	0.494	0.414	0.432	0.574	0.574	0.357	0.498	0.487	0.482	0.489	0.504	0.539	0.548	0.580	0.546	0.543	0.569	0.467	0.514	0.572
A.3	0.372	0.140	0.161	0.194	0.191	0.192	0.218	0.206	0	0.0992	0.119	0.157	0.142	0.209	0.223	0.147	0.273	0.279	0.311	0.410	0.324	0.344	0.484	0.471	0.451	0.452	0.425	0.502	0.446	0.451	0.487	0.497	0.527	0.497	0.484	0.519	0.416	0.466	0.521
A.4	0.419	0.184	0.121	0.139	0.152	0.131	0.156	0.141	0.0992	0	0.0758	0.107	0.0891	0.196	0.199	0.129	0.259	0.249	0.297	0.429	0.345	0.358	0.514	0.501	0.407	0.463	0.440	0.517	0.469	0.478	0.515	0.520	0.553	0.520	0.509	0.543	0.435	0.485	0.544
A.6	0.416	0.179	0.106	0.118	0.126	0.133	0.152	0.139	0.119	0.0758	0	0.0815	0.0895	0.187	0.202	0.156	0.236	0.254	0.305	0.434	0.352	0.366	0.508	0.504	0.376	0.492	0.438	0.502	0.461	0.470	0.506	0.515	0.545	0.514	0.503	0.536	0.448	0.480	0.536
A.7	0.468	0.212	0.113	0.124	0.132	0.126	0.117	0.107	0.157	0.107	0.0815	0	0.109	0.198	0.212	0.164	0.245	0.251	0.307	0.453	0.369	0.385	0.535	0.531	0.352	0.510	0.455	0.512	0.476	0.490	0.529	0.534	0.572	0.535	0.527	0.556	0.464	0.510	0.566
