jaccard	A0	A1	A12	A6	A4	A5	A10	A15	A7	A9	A2	A14	A20	A16	A17	A21	A8	A3	A11	A19	A13	A18	A24	A27	A28	A32	A23	A25	A29	A30	BS2	C32	A34	A26	G0	G1	G3	G4	T1	G5	LW1	G2	GR01
A0	0	0.504	0.536	0.524	0.545	0.581	0.629	0.642	0.623	0.622	0.614	0.587	0.616	0.595	0.587	0.611	0.618	0.517	0.495	0.534	0.643	0.904	0.842	0.868	0.884	0.880	0.810	0.813	0.823	0.833	0.862	0.830	0.821	0.865	0.809	0.854	0.785	0.730	0.732	0.886	0.774	0.850	0.971
A1	0.504	0	0.254	0.256	0.260	0.304	0.459	0.464	0.410	0.403	0.346	0.295	0.391	0.348	0.445	0.425	0.374	0.341	0.312	0.358	0.476	0.807	0.735	0.753	0.783	0.776	0.675	0.696	0.709	0.723	0.743	0.718	0.704	0.757	0.772	0.821	0.727	0.657	0.701	0.778	0.777	0.777	0.975
A12	0.536	0.254	0	0.217	0.246	0.282	0.435	0.475	0.413	0.404	0.337	0.261	0.385	0.335	0.427	0.394	0.350	0.320	0.320	0.341	0.472	0.811	0.729	0.760	0.767	0.777	0.671	0.695	0.703	0.710	0.745	0.712	0.686	0.755	0.762	0.811	0.710	0.645	0.697	0.784	0.777	0.787	0.976
A6	0.524	0.256	0.217	0	0.248	0.323	0.453	0.494	0.429	0.437	0.358	0.289	0.407	0.373	0.448	0.385	0.331	0.301	0.304	0.367	0.494	0.822	0.747	0.777	0.776	0.790	0.688	0.709	0.723	0.730	0.764	0.735	0.710	0.765	0.759	0.807	0.708	0.639	0.673	0.794	0.778	0.779	0.974
A4	0.545	0.260	0.246	0.248	0	0.240	0.447	0.513	0.452	0.409	0.342	0.325	0.434	0.360	0.474	0.454	0.316	0.303	0.346	0.404	0.487	0.814	0.739	0.767	0.786	0.783	0.680	0.705	0.717	0.727	0.758	0.727	0.708	0.766	0.748	0.783	0.677	0.605	0.668	0.785	0.783	0.781	0.976
A5	0.581	0.304	0.282	0.323	0.240	0	0.386	0.460	0.409	0.368	0.287	0.262	0.372	0.299	0.435	0.400	0.270	0.368	0.415	0.382	0.436	0.771	0.690	0.719	0.741	0.737	0.628	0.651	0.661	0.673	0.706	0.676	0.668	0.725	0.758	0.783	0.680	0.613	0.709	0.745	0.792	0.789	0.976
A10	0.629	0.459	0.435	0.453	0.447	0.386	0	0.271	0.241	0.245	0.308	0.376	0.331	0.315	0.279	0.285	0.413	0.520	0.503	0.425	0.436	0.636	0.537	0.575	0.595	0.593	0.467	0.486	0.504	0.513	0.553	0.524	0.516	0.580	0.839	0.851	0.790	0.738	0.770	0.731	0.833	0.794	0.977
A15	0.642	0.464	0.475	0.494	0.513	0.460	0.271	0	0.213	0.267	0.340	0.371	0.318	0.366	0.301	0.325	0.430	0.577	0.529	0.460	0.440	0.594	0.490	0.522	0.554	0.551	0.448	0.435	0.456	0.470	0.525	0.474	0.450	0.537	0.835	0.874	0.817	0.771	0.795	0.731	0.817	0.791	0.982
A7	0.623	0.410	0.413	0.429	0.452	0.409	0.241	0.213	0	0.197	0.263	0.321	0.284	0.315	0.293	0.304	0.378	0.522	0.490	0.431	0.416	0.636	0.539	0.577	0.599	0.594	0.459	0.488	0.508	0.521	0.563	0.523	0.503	0.571	0.804	0.849	0.789	0.737	0.767	0.723	0.809	0.783	0.981
A9	0.622	0.403	0.404	0.437	0.409	0.368	0.245	0.267	0.197	0	0.220	0.309	0.293	0.279	0.312	0.306	0.364	0.512	0.493	0.437	0.403	0.653	0.553	0.589	0.613	0.613	0.475	0.508	0.523	0.534	0.586	0.537	0.513	0.597	0.812	0.839	0.774	0.722	0.781	0.729	0.805	0.790	0.979
A2	0.614	0.346	0.337	0.358	0.342	0.287	0.308	0.340	0.263	0.220	0	0.243	0.246	0.250	0.342	0.313	0.328	0.441	0.460	0.423	0.412	0.694	0.605	0.639	0.660	0.656	0.535	0.559	0.575	0.588	0.622	0.588	0.571	0.636	0.793	0.821	0.734	0.679	0.752	0.724	0.797	0.785	0.979
A14	0.587	0.295	0.261	0.289	0.325	0.262	0.376	0.371	0.321	0.309	0.243	0	0.272	0.259	0.358	0.325	0.283	0.397	0.397	0.351	0.387	0.744	0.654	0.689	0.701	0.707	0.587	0.619	0.626	0.635	0.679	0.643	0.612	0.687	0.764	0.809	0.725	0.671	0.728	0.726	0.795	0.787	0.978
A20	0.616	0.391	0.385	0.407	0.434	0.372	0.331	0.318	0.284	0.293	0.246	0.272	0	0.289	0.283	0.267	0.351	0.505	0.500	0.372	0.421	0.696	0.602	0.643	0.658	0.661	0.533	0.547	0.569	0.587	0.629	0.588	0.561	0.648	0.776	0.822	0.761	0.713	0.723	0.730	0.827	0.794	0.978
A16	0.595	0.348	0.335	0.373	0.360	0.299	0.315	0.366	0.315	0.279	0.250	0.259	0.289	0	0.331	0.297	0.315	0.449	0.445	0.365	0.391	0.720	0.630	0.662	0.681	0.681	0.560	0.587	0.594	0.612	0.646	0.610	0.585	0.663	0.793	0.827	0.753	0.690	0.743	0.728	0.808	0.791	0.982
A17	0.587	0.445	0.427	0.448	0.474	0.435	0.279	0.301	0.293	0.312	0.342	0.358	0.283	0.331	0	0.263	0.424	0.532	0.484	0.372	0.426	0.680	0.589	0.627	0.644	0.643	0.532	0.552	0.552	0.570	0.612	0.560	0.546	0.636	0.823	0.861	0.800	0.748	0.744	0.731	0.829	0.789	0.982
A21	0.611	0.425	0.394	0.385	0.454	0.400	0.285	0.325	0.304	0.306	0.313	0.325	0.267	0.297	0.263	0	0.348	0.498	0.475	0.339	0.418	0.698	0.605	0.638	0.636	0.659	0.528	0.562	0.560	0.582	0.619	0.581	0.551	0.645	0.814	0.856	0.794	0.739	0.751	0.732	0.828	0.796	0.979
A8	0.618	0.374	0.350	0.331	0.316	0.270	0.413	0.430	0.378	0.364	0.328	0.283	0.351	0.315	0.424	0.348	0	0.446	0.465	0.387	0.398	0.762	0.674	0.709	0.709	0.728	0.609	0.636	0.657	0.657	0.698	0.664	0.641	0.703	0.758	0.794	0.704	0.643	0.694	0.734	0.806	0.788	0.980
A3	0.517	0.341	0.320	0.301	0.303	0.368	0.520	0.577	0.522	0.512	0.441	0.397	0.505	0.449	0.532	0.498	0.446	0	0.301	0.456	0.571	0.865	0.797	0.827	0.838	0.837	0.745	0.766	0.760	0.784	0.801	0.780	0.765	0.820	0.756	0.802	0.693	0.618	0.653	0.839	0.771	0.802	0.976
A11	0.495	0.312	0.320	0.304	0.346	0.415	0.503	0.529	0.490	0.493	0.460	0.397	0.500	0.445	0.484	0.475	0.465	0.301	0	0.444	0.543	0.849	0.775	0.798	0.808	0.818	0.726	0.739	0.751	0.759	0.785	0.761	0.738	0.792	0.797	0.843	0.740	0.671	0.709	0.823	0.771	0.782	0.976
